f60dbd906	d84c5f29b	Sat Jul 8 16:21:24 2023 -0600	Fix thinko	commit f60dbd906a4bf89354af1ed0616a61a5099d8c1aAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jul 8 16:21:24 2023 -0600    Fix thinko        Fixes https://oss-fuzz.com/testcase-detail/4787105656864768
7950beecf	8ed27757b	Mon Jan 6 21:25:00 2020 +0330	[subset] Fix null pointer dereference in hvar/vvar subset (#2085)	commit 7950beecfcc66194541437349c91625fd27c0071Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Mon Jan 6 21:25:00 2020 +0330    [subset] Fix null pointer dereference in hvar/vvar subset (#2085)        Rest of the code assumes there is at least one subtable, lets return here if not.        * https://crbug.com/oss-fuzz/19827    * https://crbug.com/oss-fuzz/19847
a8f049c9a	7cde68f10	Tue Nov 5 22:26:36 2019 +0330	[fuzz] Upload testcase of https://crbug.com/oss-fuzz/18529	commit a8f049c9a18f166a826c78caa153330a1ec04214Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Tue Nov 5 22:26:36 2019 +0330    [fuzz] Upload testcase of https://crbug.com/oss-fuzz/18529        Apparently false alarm per last comment and was ok locally also but lets have it here also
defe9b6da	b2fcca6e1	Fri Oct 25 13:09:47 2019 -0700	crash fix : Heap-buffer-overflow READ 2 https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=18513	commit defe9b6da018bc85750c999454c51fde0cadb9b2Author: Qunxin Liu <qxliu@google.com>Date:   Fri Oct 25 10:07:26 2019 -0700    crash fix : Heap-buffer-overflow READ 2    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=18513
b2fcca6e1	9815ca033	Thu Oct 24 16:11:30 2019 -0700	 fuzzer crash fix  https://oss-fuzz.com/testcase-detail/5643107869917184	commit b2fcca6e14afc8085cc1c2491b2d7c780dad1450Author: Qunxin Liu <qxliu@google.com>Date:   Thu Oct 24 15:15:26 2019 -0700     fuzzer crash fix     https://oss-fuzz.com/testcase-detail/5643107869917184
b33a0d628	cf414e361	Tue Oct 22 01:01:08 2019 +0330	fuzzer crash fix: Null-dereference WRITE https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=18363	commit b33a0d628e5e76992fdd02fd4178906137e6153cAuthor: Qunxin Liu <qxliu@google.com>Date:   Mon Oct 21 13:24:52 2019 -0700    fuzzer crash fix: Null-dereference WRITE    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=18363
e76678315	b66094ada	Mon Oct 21 22:17:06 2019 +0330	[fuzz] Add https://crbug.com/oss-fuzz/17898 testcase	commit e766783152b91fb20baf0c657586628fd7959b1bAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Mon Oct 21 22:17:06 2019 +0330    [fuzz] Add https://crbug.com/oss-fuzz/17898 testcase
d3b984d37	41d6e95b0	Mon Sep 2 18:28:03 2019 +0430	Revert in-house pow10 (d80a3ea) and fix oss-fuzz/16922	commit d3b984d3790d61931d4427ad7c0ae6547f8f1076Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Mon Sep 2 18:18:25 2019 +0430    Revert in-house pow10 (d80a3ea) and fix oss-fuzz/16922        Probably can be fixed but merging it was wrong so let's revert.
28aba780c	541f3c2d7	Sat Aug 24 16:11:21 2019 +0430	[subset] Fix blob leak of _subset2 when returns early	commit 28aba780c4035cc85a31b778db0f5553c896dd6aAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Fri Aug 23 16:47:15 2019 +0430    [subset] Fix blob leak of _subset2 when returns early        Fixes https://crbug.com/oss-fuzz/16639
3efb7af7e	e66eb21a4	Mon May 20 11:37:16 2019 -0400	[STAT] Fix sanitize condition	commit 3efb7af7e28061f8cd138eb2ed5261bf521abc63Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon May 20 11:37:16 2019 -0400    [STAT] Fix sanitize condition        Oops!        Fixes https://oss-fuzz.com/testcase-detail/5696825891225600
df237d2fe	02ae2591d	Wed May 8 14:17:14 2019 -0700	[test] Add https://crbug.com/oss-fuzz/14641 testcase	commit df237d2fe78086ad16bdbd2cc60639ae9ce909d6Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Wed May 8 14:17:14 2019 -0700    [test] Add https://crbug.com/oss-fuzz/14641 testcase        As 503748d fix
62c6e1707	6977a95fe	Sun Apr 28 10:55:07 2019 -0700	[test] Add crbug.com/oss-fuzz/14474 testcase	commit 62c6e170728303f4225aaa25523675fc260ae1abAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Sun Apr 28 10:55:07 2019 -0700    [test] Add crbug.com/oss-fuzz/14474 testcase        Fixed at 6977a95f
ba0386060	63a210848	Thu Apr 18 18:18:05 2019 -0400	fix oss-fuzz issue 14345	commit ba0386060d92dffcde2d14f9e523a46ea8713de2Author: Michiharu Ariza <ariza@adobe.com>Date:   Thu Apr 18 14:53:35 2019 -0700    fix oss-fuzz issue 14345
6879efc2c	a262eb3d0	Thu Jan 17 14:08:02 2019 -0500	[AAT] Fix anchor bound checking, again	commit 6879efc2c1596d11a6a6ad296f80063b558d5e0fAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Jan 17 14:06:37 2019 -0500    [AAT] Fix anchor bound checking, again        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=12532    Fixes https://bugs.chromium.org/p/chromium/issues/detail?id=922303
7a6686a58	a3fa7d333	Mon Jan 14 15:09:14 2019 -0500	[AAT] Fix mort ContextualSubtable offset access	commit 7a6686a589ed6bf17a5af0b8012501e4d4ee2dedAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Jan 14 15:09:14 2019 -0500    [AAT] Fix mort ContextualSubtable offset access        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=12312
7b48641aa	97f67a3c3	Tue Jan 8 15:37:48 2019 -0500	fix leak in subset_enc_supp_codes (#1537)	commit 7b48641aa8551115d21c534940ac4fb364e5ab92Author: Michiharu Ariza <ariza@adobe.com>Date:   Tue Jan 8 12:37:48 2019 -0800    fix leak in subset_enc_supp_codes (#1537)        oss-fuzz issue 12310
59345cdef	20245f000	Thu Dec 6 13:36:26 2018 -0800	[CFF] Refix oss-fuzz 11714: set_blends (PR #1458) (#1460)	commit 59345cdef38cf1f514a6a0eb6e8852350acb6166Author: Michiharu Ariza <ariza@adobe.com>Date:   Thu Dec 6 13:36:26 2018 -0800    [CFF] Refix oss-fuzz 11714: set_blends (PR #1458) (#1460)        * pass subarray of stack to set_blends        * get_subarray to return a value, not ref        * restored error check (with tweak)
d9dabc00e	81cfd3c77 010e2ddb3	Wed Dec 5 15:39:34 2018 -0800	Merge pull request #1454 from harfbuzz/cff-fixbcd	commit d9dabc00e9278a346e85538212c126da7e610d55Merge: 81cfd3c77 010e2ddb3Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Dec 5 15:39:34 2018 -0800    Merge pull request #1454 from harfbuzz/cff-fixbcd        [CFF] fix oss-fuzz issue 11674: parse_bcd
6708c5595	8394a6cb2	Wed Dec 5 12:51:18 2018 -0800	fix oss-fuzz issue 11675 (ASSERT: count <= str.len)	commit 6708c5595fc6babdae0132f8a23cbe3558a58703Author: Michiharu Ariza <ariza@adobe.com>Date:   Wed Dec 5 12:51:18 2018 -0800    fix oss-fuzz issue 11675 (ASSERT: count <= str.len)        Also added an additional error check to avail ()
79e7e3445	cf4b7db6b 78f639b8b	Wed Dec 5 13:25:18 2018 +0330	Merge pull request #1449 from harfbuzz/cff-fixcharset	commit 79e7e3445efef2dc57f8a10c7e355e802af08868Merge: cf4b7db6b 78f639b8bAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Wed Dec 5 13:25:18 2018 +0330    Merge pull request #1449 from harfbuzz/cff-fixcharset        [CFF] fix for oss-fuzz 11657: Charset overrun
32cc46c75	d0a250a7b	Wed Dec 5 09:02:34 2018 +0330	[CFF] fix oss-fuzz issue 11670: NULL dereference (#1450)	commit 32cc46c75a5f163f254b7998ed9193d5bbc85e4bAuthor: Michiharu Ariza <ariza@adobe.com>Date:   Tue Dec 4 21:32:34 2018 -0800    [CFF] fix oss-fuzz issue 11670: NULL dereference (#1450)        * guard against no subr access        * code tweak        * add minimized testcase for oss-fuzz 11670 (Null deference)
d3d2f32c6	d0a250a7b	Tue Dec 4 13:51:26 2018 -0800	fix oss-fuzz 11657: buffer overrun	commit d3d2f32c6e85de1d7fbbb18afef356e09110e61cAuthor: Michiharu Ariza <ariza@adobe.com>Date:   Tue Dec 4 13:51:26 2018 -0800    fix oss-fuzz 11657: buffer overrun        Check overrun in Charset1_2::get_glyph
9473463f5	c968869f2	Tue Dec 4 09:58:48 2018 -0800	fix attempt for oss-fuzz 11662 leak	commit 9473463f5c884fcb1de8a7ba7410da2601e6ffa8Author: Michiharu Ariza <ariza@adobe.com>Date:   Tue Dec 4 09:58:48 2018 -0800    fix attempt for oss-fuzz 11662 leak
cb4bf85b1	af727b4e6	Fri Nov 16 02:02:24 2018 -0500	[hdmx] Fix bounds checking	commit cb4bf85b14afb3761a85e3da130f2844ac94a49dAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Fri Nov 16 02:02:24 2018 -0500    [hdmx] Fix bounds checking        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11351
c8f4cc492	1300f027a	Mon Nov 12 14:11:29 2018 -0500	[kerx] Fix integer overflow in multiply	commit c8f4cc49272d8bcd47706a6306a625d724349f5aAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Nov 12 14:11:29 2018 -0500    [kerx] Fix integer overflow in multiply        Fixes https://oss-fuzz.com/v2/testcase-detail/5754863779053568
752bd8a19	f9e0552de	Sat Nov 10 21:13:32 2018 -0500	[kerx] Fix Format1 tupleKern sanitization	commit 752bd8a192af209f44dacaf1d3510d0bfc6354b8Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Nov 10 21:13:13 2018 -0500    [kerx] Fix Format1 tupleKern sanitization        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11312    Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11305
3a9fa8c02	b308aaccf	Sat Nov 10 01:58:26 2018 -0500	[qsort] Fix O(N^2) behavior if all array elements are the same	commit 3a9fa8c026bf28bf87e20ec95327f74fd7070b74Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Nov 10 01:56:37 2018 -0500    [qsort] Fix O(N^2) behavior if all array elements are the same        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11327        Reported as https://github.com/noporpoise/sort_r/issues/7
8d98c51d1	f074da8c2	Sat Nov 3 15:14:57 2018 -0400	[kern] Third try fix access violation in Format3	commit 8d98c51d133b058a845ed7a84bfe8a43083bbb03Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Nov 3 15:14:57 2018 -0400    [kern] Third try fix access violation in Format3        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11245
f074da8c2	93ef20a83	Sat Nov 3 15:07:39 2018 -0400	[kern] Really fix access violation in Format3	commit f074da8c2b6a7061c71d12213a6c494c119eb20eAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Nov 3 15:06:45 2018 -0400    [kern] Really fix access violation in Format3        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11245
0589787ff	5570c87f2	Sat Nov 3 14:59:40 2018 -0400	[kern] Fix access violation in Format3	commit 0589787ff55bff9bd5849c4443229e926cc574a5Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Nov 3 14:58:54 2018 -0400    [kern] Fix access violation in Format3        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11245
0af3d176a	edaa76825	Tue Oct 30 17:05:28 2018 +0200	[sbix] Fix memory leak in early return	commit 0af3d176a64c0a57c7acb2a64ce8b9d08f449241Author: Khaled Hosny <khaledhosny@eglug.org>Date:   Tue Oct 30 17:05:28 2018 +0200    [sbix] Fix memory leak in early return        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11210
00ae4be6b	30eab97a0	Fri Oct 26 21:59:20 2018 -0700	[morx] Fix bailing out ligation at end-of-text	commit 00ae4be6bf8b1d0800043167c5cf95187ac12515Author: Behdad Esfahbod <behdad@behdad.org>Date:   Fri Oct 26 21:59:20 2018 -0700    [morx] Fix bailing out ligation at end-of-text        Check was after a move_to, which wouldn't work.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11147
68b705076	00fdbca4f	Sat Oct 20 12:20:57 2018 -0700	[kerx] Fix sanitize of KerxSubtableFormat2::array read	commit 68b705076808d4b0a4ac3bfa945b8f9ae23db1dfAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Oct 20 12:09:41 2018 -0700    [kerx] Fix sanitize of KerxSubtableFormat2::array read        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11033
00fdbca4f	f11c55766	Sat Oct 20 12:20:57 2018 -0700	[aat] Fix LookupFormat10 sanitize	commit 00fdbca4f6a5c4623b9c4838da502cccce8aaa74Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Oct 20 12:04:51 2018 -0700    [aat] Fix LookupFormat10 sanitize        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11060
83780308b	b9478e28a	Wed Oct 17 22:34:16 2018 -0700	[aat] Fix sanitize slowdown	commit 83780308b41b029513ac2568b6688d3eaad77338Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Oct 17 22:34:16 2018 -0700    [aat] Fix sanitize slowdown        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=11034
11703afce	4c27da763	Mon Oct 15 21:17:08 2018 -0700	[kerx] Fix Format6 sanitize	commit 11703afce6cebbb4c5e7cdea59ca59a1787608b8Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Oct 15 21:16:58 2018 -0700    [kerx] Fix Format6 sanitize        Fixes https://oss-fuzz.com/v2/testcase-detail/5650286710882304
4c27da763	0f85edb77	Mon Oct 15 19:46:45 2018 -0700	[CBDT] Fix more offsetting	commit 4c27da7638f6d072c3ff93223488c4ab316236c1Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Oct 15 19:46:45 2018 -0700    [CBDT] Fix more offsetting        Fixes https://oss-fuzz.com/v2/testcase-detail/5750379279548416
60c139767	7efa38257	Sun Oct 14 19:38:14 2018 -0700	[buffer] Fix output_glyph at end of buffer	commit 60c13976733ea05e71c66c486d62e31ffbb71bacAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sun Oct 14 19:36:46 2018 -0700    [buffer] Fix output_glyph at end of buffer        Part of https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=10955
40f2b9355	44af1f93e	Sun Oct 14 14:56:32 2018 -0700	[kerx] Fix Format1 sanitize	commit 40f2b9355cf827c7b82ea5e55b112ce0032a9abfAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sun Oct 14 14:56:32 2018 -0700    [kerx] Fix Format1 sanitize        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=10948
2c824d364	e940530c9	Thu Oct 11 16:43:05 2018 -0400	[aat] Fix two wrongs that made a right before!	commit 2c824d3644e16643c2bbe85fb88f9fb6fed53ce7Author: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Oct 11 16:41:01 2018 -0400    [aat] Fix two wrongs that made a right before!        Unfortunately our static asserts (DEFINE_SIZE_STATIC) don't actually    fail when used in templates, thanks to SFINAE.  Le sighs.        Probably fixes https://oss-fuzz.com/v2/testcase-detail/5740171484463104
e940530c9	1d995a340	Thu Oct 11 15:56:17 2018 -0400	[aat] Fix mul overflow	commit e940530c9723c3a581a5d5b31e5f419865dd6cc7Author: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Oct 11 15:56:17 2018 -0400    [aat] Fix mul overflow        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=10897
16fba5b21	7ab49de98	Wed Nov 29 16:08:11 2017 -0800	[ot] Fix Extension type recurse to disallow recursing to another Extension	commit 16fba5b2158a0e093e6df32637eba5058942e299Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Nov 29 16:08:11 2017 -0800    [ot] Fix Extension type recurse to disallow recursing to another Extension        Particularly hazardous if the second layer mixes forward and backward lookups.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=4336
e20e47eaa	7b40876a5	Tue Nov 14 20:25:29 2017 -0800	[glyf] Try fixing undefined-behavior	commit e20e47eaa1b7dd33ac63ab0eaa8f5ea1bf7775c2Author: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Nov 14 20:25:29 2017 -0800    [glyf] Try fixing undefined-behavior        Might fix https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=1463
e5930722d	fcd6c338f	Tue Nov 14 15:47:55 2017 -0800	Fix invalid buffer access in OOM times	commit e5930722d485207ca158612a2b08816337fed7e8Author: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Nov 14 15:47:55 2017 -0800    Fix invalid buffer access in OOM times        Hopefully fully fixes    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=1856
8eed9cb11	b68fba4dc	Thu Nov 9 18:09:40 2017 -0800	[kern] Fix invalid memory access if offset is zero	commit 8eed9cb11e28728a58e265fde5c13f519ccbdb4eAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Nov 9 18:09:40 2017 -0800    [kern] Fix invalid memory access if offset is zero        If offset is zero, we return Null() object.  Wasn't prepared for that.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=4088
c4f4c0a2f	822035ce7	Wed Nov 8 17:04:31 2017 -0800	Fix indexing in unsafe-to-break marking for \'stch\' feature	commit c4f4c0a2faab0635dd2ab3078243994ad3066287Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Nov 8 17:04:31 2017 -0800    Fix indexing in unsafe-to-break marking for 'stch' feature        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=4099
7c561dacc	d6f612fac	Thu Oct 19 11:35:51 2017 -0700	[myanmar] Fix unsafe usage of FLAG_SAFE()	commit 7c561dacc3c5fb9306db8bda27b7289331bd523fAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Oct 19 11:35:51 2017 -0700    [myanmar] Fix unsafe usage of FLAG_SAFE()        The commit f559c633073f63b9d87cb2440048b4413cfa1c05 caused    "undefined-shift" errors in Myanmar shaper as we changed the    numeric value of type D from 19 to 32 there, making the    "FLAG_SAFE (info.myanmar_category())" wrong.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=3546
14a639ea5	e43aad555	Fri Aug 11 11:30:39 2017 -0700	[unsafe-to-break] Fix Use-of-uninitialized-value in unsafe_to_break_set_mask	commit 14a639ea592cba971e5548f0942dd395c602c7a8Author: Behdad Esfahbod <behdad@behdad.org>Date:   Fri Aug 11 11:30:39 2017 -0700    [unsafe-to-break] Fix Use-of-uninitialized-value in unsafe_to_break_set_mask        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=3011
85630996b	6685d281d	Sat Feb 25 13:32:20 2017 -0800	Fix buffer-overrun with Bengali reph positioning code	commit 85630996b8afa699f7b5d19346cdf5c72fcd6e2dAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Feb 25 13:30:38 2017 -0800    Fix buffer-overrun with Bengali reph positioning code        This has no security implications whatsoever since we always keep    and extra element at the end of buffer, just in case.        Discovered by oss-fuzz    CC https://github.com/behdad/harfbuzz/issues/139    Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=660
