127ad70782	61d16a6501	Tue Jul 25 17:54:14 2023 +0200	Fix open_basedir leak	commit 127ad70782f9bf5c245a7b55a1c420f2d67b993fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jul 24 23:23:32 2023 +0200    Fix open_basedir leak        Fixes oss-fuzz #60741    Closes GH-11780
bb0b4eb996	aced867a95	Tue Mar 1 00:00:22 2022 +0300	Fix infiniry recursion during serialize() of "tricky" object	commit bb0b4eb996c86b927df86f6bdb1e8ac0749e5333Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Mar 1 00:00:22 2022 +0300    Fix infiniry recursion during serialize() of "tricky" object        Fixes oss-fuzz #44954
aced867a95	f67986a921	Mon Feb 28 18:25:49 2022 +0300	Fix typr inference	commit aced867a952c189a3968a9ecf3e6ca28facc2153Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Feb 28 18:25:49 2022 +0300    Fix typr inference        Fixes oss-fuzz #45020
5ca2dd3d16	8e00da3728	Mon Feb 28 16:37:17 2022 +0300	Fixed assertion after clobbering object by user error handler, because of creation dynamic property deprecation warning.	commit 5ca2dd3d16e5d9591040a58313a2c0a0b94b7b36Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Feb 28 16:37:17 2022 +0300    Fixed assertion after clobbering object by user error handler, because    of creation dynamic property deprecation warning.        Fixes oss-fuzz #44932
70f7e7d83f	ac8a53cab1	Mon Feb 28 15:43:03 2022 +0300	JIT: Fix memory leak	commit 70f7e7d83fe213712a0828ae4872daaed03a2544Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Feb 28 15:43:03 2022 +0300    JIT: Fix memory leak        Fixes oss-fuzz #44920
ac8a53cab1	0d266a24d6	Mon Feb 28 13:48:53 2022 +0300	JIT: Fix register allocator	commit ac8a53cab1297f8546146f93f3fa7897e396b047Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Feb 28 13:48:53 2022 +0300    JIT: Fix register allocator        Fixes oss-fuzz #44916
78c7289f69	cd1c6f0b81	Mon Feb 28 11:44:22 2022 +0300	Fixed incorrect DCE for FREE	commit 78c7289f6922dbf109bf2b92c056063e6b3c78deAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Feb 28 11:44:22 2022 +0300    Fixed incorrect DCE for FREE        Fixes oss-fuzz #44863
3198b8787b	84a638a346	Fri Feb 18 17:15:07 2022 +0300	JIT: Fix register allocation	commit 3198b8787bdbe08a893faf1164c48b9bd0f86562Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 18 17:15:07 2022 +0300    JIT: Fix register allocation        Fixes oss-fuzz #44689
84a638a346	8f5480e7eb	Fri Feb 18 12:20:40 2022 +0300	Fix memory leak	commit 84a638a346f918e1ed6afc23f8ea1b7b7b90df1bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 18 12:20:40 2022 +0300    Fix memory leak        Fixes oss-fuzz #44685
73fed0f028	a506b0006e	Fri Feb 11 15:16:08 2022 +0300	Fix emory leak	commit 73fed0f0285f0b225f10884d19eb26d3cfbd5084Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 11 15:16:08 2022 +0300    Fix emory leak        Fixes oss-fuzz #44408
912608d89b	7434909dc6	Fri Feb 11 13:44:49 2022 +0300	JIT: Fixed register clobbering during overflow handling	commit 912608d89bbf9ea1c564052855b8d484aad10319Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 11 13:44:49 2022 +0300    JIT: Fixed register clobbering during overflow handling        Fixes oss-fuzz #44535
7434909dc6	0d6b173532	Fri Feb 11 13:03:36 2022 +0300	Fix type inference	commit 7434909dc652feca55da7e29db81d1f4cd09b9adAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 11 13:03:36 2022 +0300    Fix type inference        Fixes oss-fuzz #44407
0d6b173532	d0f965d078	Fri Feb 11 12:05:57 2022 +0300	JIT: Fix missed type store	commit 0d6b173532d481fdb90d54685bef72d455352b6aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 11 12:05:57 2022 +0300    JIT: Fix missed type store        Fizes oss-fuzz #44376
82bb169a08	29fe06fa59	Fri Feb 11 11:08:19 2022 +0300	Tracing JIT: Fixed incorrect deoptimization info	commit 82bb169a083bb592291d8e6bd5e2198c00eac07bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Feb 11 11:08:19 2022 +0300    Tracing JIT: Fixed incorrect deoptimization info        Fixes oss-fuzz #44294
478448d271	a60a9b4a89	Tue Feb 1 22:00:39 2022 +0300	JIT: Fix register alloction (missed store)	commit 478448d27161ce6fb23ee4fb92add46bd93482f0Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Feb 1 22:00:39 2022 +0300    JIT: Fix register alloction (missed store)        Fixes oss-fuzz #44242
a60a9b4a89	54c952f11f	Tue Feb 1 16:24:22 2022 +0300	Fix memory leak	commit a60a9b4a89b4fa40f8980a0a35a7088860cb8a4dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Feb 1 16:24:22 2022 +0300    Fix memory leak        Fixes oss-fuzz #44222
54c952f11f	f711c9603d	Fri Jan 28 16:27:55 2022 +0300	JIT: Fix incorrect type store elimination	commit 54c952f11fbc3e877ddb729b78e9814eb3f79157Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 28 16:27:55 2022 +0300    JIT: Fix incorrect type store elimination        Fixes oss-fuzz #43737
f711c9603d	965dafe3e1	Fri Jan 28 13:08:11 2022 +0300	Fix incorrect register allocation	commit f711c9603db70ad7be8dace35b4297860a0f6e11Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 28 13:08:11 2022 +0300    Fix incorrect register allocation        Fixes oss-fuzz #44006
f1ae13509f	2af33234b2	Fri Jan 28 12:38:38 2022 +0300	Fix memory leak	commit f1ae13509f23a639bd47b4035e6bf74c68cef752Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 28 12:38:38 2022 +0300    Fix memory leak        Fixes oss-fuzz #43988
965dafe3e1	464e725bb5	Fri Jan 28 12:17:46 2022 +0300	Fix too aggressive DCE that leads to memory leak	commit 965dafe3e15667daf0c5837dd92ee2ebcf4899edAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 28 12:17:46 2022 +0300    Fix too aggressive DCE that leads to memory leak        Fixes oss-fuzz #43738
464e725bb5	07aaa34cd4	Fri Jan 28 11:04:51 2022 +0300	Fix typo (wrong string length)	commit 464e725bb5a61e425e1e05015e0db8ca4bf2f3a9Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 28 11:04:51 2022 +0300    Fix typo (wrong string length)        Fixes oss-fuzz #44110
655e578e81	797e091d06	Fri Jan 14 17:24:23 2022 +0300	JIT: Fix exception handling	commit 655e578e816e6eec767b25963e93d8e044a9f392Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 14 17:24:23 2022 +0300    JIT: Fix exception handling        Fixes oss-fuzz #43618
ee8f9d75c0	079c5af9ec	Fri Jan 14 16:43:50 2022 +0300	JIT: Fix trace type inference	commit ee8f9d75c0ced8bdbcae01dd98654d13e29ae8c0Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 14 16:43:50 2022 +0300    JIT: Fix trace type inference        Fixes oss-fuzz #43597
079c5af9ec	f7c3f6e7e2	Fri Jan 14 13:41:16 2022 +0300	JIT: Fix register allocation	commit 079c5af9ec516e0e60c6209135b127e3e1a86c64Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Jan 14 13:41:16 2022 +0300    JIT: Fix register allocation        Fixes oss-fuzz #43598
78974a4776	3b6d385794	Thu Jan 13 11:44:25 2022 +0100	JIT: Fix incorrect flag check	commit 78974a4776a25425d836a8e842b8519b14d4127bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jan 11 22:23:44 2022 +0300    JIT: Fix incorrect flag check        Fixes oss-fuzz #43538
522406c0ec	d8b0337cff	Tue Jan 11 22:23:44 2022 +0300	JIT: Fix incorrect flag check	commit 522406c0ec8d35f12683acfb3f4ee8d5b6ea6f13Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jan 11 22:23:44 2022 +0300    JIT: Fix incorrect flag check        Fixes oss-fuzz #43538
d8b0337cff	d7db5f6e21	Tue Jan 11 13:02:55 2022 +0300	Fix register allocation on x86	commit d8b0337cff18d4a7e6ec288dd470efa2e720ecf8Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jan 11 13:02:55 2022 +0300    Fix register allocation on x86        Fixes oss-fuzz #43119
1f58365438	698ac23711	Mon Jan 10 21:53:35 2022 +0300	Fix type inference	commit 1f58365438ca10662fff1a27298969cf29d2688cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 10 21:53:35 2022 +0300    Fix type inference        Fixes oss-fuzz #43367
698ac23711	71d6501346	Mon Jan 10 19:39:19 2022 +0300	Fixed NAN handling in SCCP	commit 698ac23711503cb3a2c0ae1965447598597ac468Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 10 19:39:19 2022 +0300    Fixed NAN handling in SCCP        Fixes oss-fuzz #43341
c958ab121b	8a5c68181c	Mon Jan 10 17:27:00 2022 +0300	JIT: Fix array separation after capturing by user error handler	commit c958ab121b087adb49e6db992fa8a97755ac6e22Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 10 17:27:00 2022 +0300    JIT: Fix array separation after capturing by user error handler        Fixes oss-fuzz #43288
b80d30d821	4170d41a66	Mon Jan 10 16:03:54 2022 +0300	Fix type inference for assign to string offset with invalid index.	commit b80d30d821e64de96c36d24e7e931028678750deAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 10 16:03:54 2022 +0300    Fix type inference for assign to string offset with invalid index.        Fixes oss-fuzz #43277
4170d41a66	2f6a06ccb0	Mon Jan 10 15:37:36 2022 +0300	JIT: Fix incorrect FETCH_THIS elimination	commit 4170d41a66d913b672e7f76d528aea2fe15d21deAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 10 15:37:36 2022 +0300    JIT: Fix incorrect FETCH_THIS elimination        Fizex oss-fuzz #43159
fd879e6fe4	cb3d858745	Tue Dec 28 16:51:03 2021 +0300	JIT: Fix array clobbering by user error handler	commit fd879e6fe47c5d83e9f2e9fd2f72e6b1b548a02aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Dec 28 16:51:03 2021 +0300    JIT: Fix array clobbering by user error handler        Gixes oss-fuzz #43055
de358f856f	87d9e02f01	Tue Dec 28 09:57:03 2021 +0300	Fix reference contig inference	commit de358f856fea56ad2b7ff79f3f7daa91ee99b32aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Dec 28 09:57:03 2021 +0300    Fix reference contig inference        Fixes oss-fuzz #43032
2b81156f2a	3f0bb67361	Fri Dec 24 13:10:22 2021 +0300	Fix memory leak in SCCP	commit 2b81156f2a64ae99a4d431983e7c5a4ec7b817f7Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Dec 24 13:10:22 2021 +0300    Fix memory leak in SCCP        Fixes oss-fuzz #42878
6d5922bed5	e004e844f7	Mon Dec 20 23:52:46 2021 +0300	JIT: Fix incorrect JIT prologur size for CLANG/x86 build	commit 6d5922bed5930b3ed453e9364c16ccd33ff45a86Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 20 23:52:46 2021 +0300    JIT: Fix incorrect JIT prologur size for CLANG/x86 build        Fixes oss-fuzz #42724
e004e844f7	7c674e1aa7	Mon Dec 20 15:06:32 2021 +0300	Fix incorrect optimization of ASSIGN_OP that may lead to memory leak	commit e004e844f74998878853517d900f99dbc1e9db3dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 20 15:06:32 2021 +0300    Fix incorrect optimization of ASSIGN_OP that may lead to memory leak        Fixes oss-fuzz #42506
7c674e1aa7	f18bb2477f	Mon Dec 20 12:48:48 2021 +0300	JIT: Fix register clobbering	commit 7c674e1aa7d688086aace0cc3e5bb7635b595417Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 20 12:48:48 2021 +0300    JIT: Fix register clobbering        Fixes oss-fuzz #42657
f18bb2477f	1481d66343	Mon Dec 20 11:40:11 2021 +0300	Fix type inference for INIT_ARRAY with invalid index	commit f18bb2477fba864d20d2c3b7422e5b9ce88f1f79Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 20 11:40:11 2021 +0300    Fix type inference for INIT_ARRAY with invalid index        Fixes oss-fuzz #42568
2745cd9997	88cb659f1f	Fri Dec 17 12:49:58 2021 +0300	Fix array clobbering by user error handler	commit 2745cd99973a5b422c66d62b9d9229da22e82a34Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Dec 17 12:49:58 2021 +0300    Fix array clobbering by user error handler        Fixes oss-fuzz #42503
66306030ad	49380b59d2	Fri Dec 17 12:31:48 2021 +0300	JIT: Fix incorrect type store elimination	commit 66306030ad26da49bbc6c07624fa3b4b1f1d9757Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Dec 17 12:31:48 2021 +0300    JIT: Fix incorrect type store elimination        Fixes oss-fuzz #42388
75b2973974	b16fc350a4	Wed Dec 15 12:20:37 2021 +0300	Fix array clobbering by user error handler	commit 75b2973974414fb52a19c0466c8f2afc2081eb49Author: Dmitry Stogov <dmitry@zend.com>Date:   Wed Dec 15 12:20:37 2021 +0300    Fix array clobbering by user error handler        Fixes oss-fuzz #42363
fe320e83ae	cbc0b1afeb	Mon Dec 13 16:28:45 2021 +0300	Tracing JIT: Fix reference counting	commit fe320e83aee316de07305f7808bdb158ba8b3feaAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 13 16:28:45 2021 +0300    Tracing JIT: Fix reference counting        Fixes oss-fuzz #42225
cbc0b1afeb	230de7721f	Mon Dec 13 14:59:30 2021 +0300	Fix array clobering by user error handler	commit cbc0b1afeb97044f7a813e8678736649c15f3974Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 13 14:59:30 2021 +0300    Fix array clobering by user error handler        Fixes oss-fuzz #42234
230de7721f	e79dbe1124	Mon Dec 13 13:08:05 2021 +0300	Fix incorrect optimization that leads to memory leak	commit 230de7721f17ca0aeb85d819f1d4001a6be56d22Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 13 13:08:05 2021 +0300    Fix incorrect optimization that leads to memory leak        Fixes oss-fuzz #42221
e79dbe1124	c435e67746	Mon Dec 13 11:49:51 2021 +0300	JIT: Fix crash during compilation of function with incompletely constructed SSA	commit e79dbe1124bc5e556ab87ce6a4bfa3826108a2faAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 13 11:49:51 2021 +0300    JIT: Fix crash during compilation of function with incompletely constructed SSA        Fixes oss-fuzz #42200
0ac3d78d7d	efb901ebed	Fri Dec 10 01:39:28 2021 +0300	Fix incorrect JMP optimization	commit 0ac3d78d7d05e254680f58d072e36b3b6779ee78Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Dec 10 01:39:28 2021 +0300    Fix incorrect JMP optimization        Fixes oss-fuzz #42155
7e080183f4	7d4fdf1510	Thu Dec 9 18:15:47 2021 +0300	Fix crush after compilation of nullsafe operator introduced in 307e476e86e19135976ba7e686558de68dbb9b29	commit 7e080183f48b8da54038ecaedd1534cd49cf56b0Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Dec 9 18:15:47 2021 +0300    Fix crush after compilation of nullsafe operator introduced in 307e476e86e19135976ba7e686558de68dbb9b29        Now we flush only delayed opcodes realted to this nullsafe operator.        Fixes oss-fuzz #42152
7b629afe4e	c29f6baaee	Mon Dec 6 15:59:30 2021 +0300	Fixed incorrect DCE of a constructor call	commit 7b629afe4e9411c8fb5a68a2641d33027a9784e6Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 6 15:59:30 2021 +0300    Fixed incorrect DCE of a constructor call        Fixez oss-fuzz #42049
c29f6baaee	aa7280264e	Mon Dec 6 14:22:07 2021 +0300	JIT: Fix incorrect elimination of type store	commit c29f6baaee5e4d1bc826a7c1414f912b21c3e8f8Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 6 14:22:07 2021 +0300    JIT: Fix incorrect elimination of type store        Fixes oss-fuzz #41995
5459ed4c2f	4ed10f3d47	Mon Dec 6 13:08:27 2021 +0300	Fix use after free because of data clobbering by user error handler	commit 5459ed4c2fbc25560da3808e823c0503704a8f31Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 6 13:08:27 2021 +0300    Fix use after free because of data clobbering by user error handler        Fixes oss-fuzz #41692
aa7280264e	1f38c003d2	Mon Dec 6 11:30:03 2021 +0300	Fix refcount inferemce ($a += $a returns old array with RCN)	commit aa7280264e9b42a287cf38c68a019ca516db01ddAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 6 11:30:03 2021 +0300    Fix refcount inferemce ($a += $a returns old array with RCN)        Fixes oss-fuzz #41670
307e476e86	929d847152	Sat Dec 4 18:04:24 2021 +0300	Fixed bug #81216 (Nullsafe operator leaks dynamic property name)	commit 307e476e86e19135976ba7e686558de68dbb9b29Author: Dmitry Stogov <dmitry@zend.com>Date:   Sat Dec 4 18:04:24 2021 +0300    Fixed bug #81216 (Nullsafe operator leaks dynamic property name)        Fixes oss-fuzz #38542
2515e788bc	c4ee66856e	Fri Dec 3 11:13:50 2021 +0300	JIT: Fix register clobbering	commit 2515e788bc970af5afbecbfd90eb4211acada6d3Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Dec 3 11:13:50 2021 +0300    JIT: Fix register clobbering        Fixes oss-fuzz #41621
2fde308fc6	94286cd596	Thu Dec 2 22:19:48 2021 +0300	JIT: Fix ASSIGN_DIM_OP with undefined variable and index and user error handler, throwing an exception	commit 2fde308fc6b3b897c451d17b22a78612cd040422Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Dec 2 22:19:48 2021 +0300    JIT: Fix ASSIGN_DIM_OP with undefined variable and index and user error handler, throwing an exception        Fixes oss-fuzz #39422
09547c64c2	9f6ab78610	Thu Dec 2 00:24:05 2021 +0300	Fix clobering of operand by error handler in assignment to string offset	commit 09547c64c28f81957d986b9c6b995b28d1098db6Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Dec 2 00:24:05 2021 +0300    Fix clobering of operand by error handler in assignment to string offset        In some cases new code requires two reallocations insead of one.        Fixes oss-fuzz #31716, #36196, #39739 and #40002
c3766c08f4	b594a95a2f	Wed Dec 1 18:03:08 2021 +0300	Fix SCDF cleanup of unused basic block, kept only because of FREE of a loop var	commit c3766c08f415bf4acc015c2c7fd3ed6969f15f08Author: Dmitry Stogov <dmitry@zend.com>Date:   Wed Dec 1 18:03:08 2021 +0300    Fix SCDF cleanup of unused basic block, kept only because of FREE of a loop var        Fixes oss-fuzz #41516
b594a95a2f	2fb7b6e3e9	Tue Nov 30 23:33:34 2021 +0300	Fixed crash in ZEND_ASSIGN_DIM_OP because of array cloberring by user error handler	commit b594a95a2f692b86aa06da46f79e6674cf402b0cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Nov 30 23:33:34 2021 +0300    Fixed crash in ZEND_ASSIGN_DIM_OP because of array cloberring by user error handler        Fixes oss-fuzz #36214
e7b31f57ec	df434f056f	Tue Nov 30 20:36:52 2021 +0300	JIT: Fix incorrect code produced for BOOL_NOT and [double, undef] operand	commit e7b31f57ec56a9e1fda834e54266def7bcdaf5c0Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Nov 30 20:36:52 2021 +0300    JIT: Fix incorrect code produced for BOOL_NOT and [double, undef] operand        Fixes oss-fuzz #41531
df434f056f	c1036194d6	Tue Nov 30 16:07:38 2021 +0300	Fix crash after indirect modification of string by user error handler	commit df434f056f187e63c0c59d61403b05d2bf387d4cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Nov 30 16:07:38 2021 +0300    Fix crash after indirect modification of string by user error handler        Fixes oss-fuzz #39346
c1036194d6	6e1fe96962	Tue Nov 30 12:58:54 2021 +0300	JIT: Fix incorrect reference counting inference	commit c1036194d6fad51c129b45cf3f85bf0bbbef5670Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Nov 30 12:58:54 2021 +0300    JIT: Fix incorrect reference counting inference        Fixes oss-fuzz #40747
6e1fe96962	86430e8e01	Tue Nov 30 11:40:18 2021 +0300	JIT: Fix uninitialized result of ASSIGN_DIM[_OP] after clobbering array by user error handler	commit 6e1fe969623809b113c1d9c1be69bb14087a2c28Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Nov 30 11:40:18 2021 +0300    JIT: Fix uninitialized result of ASSIGN_DIM[_OP] after clobbering array by user error handler        Fixes oss-fuzz #41208
aff115547f	816aa20391	Mon Nov 29 21:44:00 2021 +0300	JIT: Fix exception handling when next array element is already occupied	commit aff115547ff7b261cf258763ba28b6fe8ce95c18Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 29 21:44:00 2021 +0300    JIT: Fix exception handling when next array element is already occupied        Fixes oss-fuzz #41408
d955415114	8f4cfe04eb	Mon Nov 29 18:39:50 2021 +0300	JIT: Fix named arguments handling	commit d95541511416f4b8b1818b4aefd90ba5dfb04f02Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 29 18:39:50 2021 +0300    JIT: Fix named arguments handling        Fixes oss-fuzz #41486
8f4cfe04eb	f3bd24a200	Mon Nov 29 18:37:49 2021 +0300	JIT: Fix named arguments handling	commit 8f4cfe04eb4f16db0dcd180ebb8bae2e081ef40dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 29 18:37:49 2021 +0300    JIT: Fix named arguments handling        Fixes oss-fuzz #41486
49f44e7ffc	179030d167	Thu Nov 25 22:21:44 2021 +0300	JIT: Fixed use-after-free caused by shift by negative number	commit 49f44e7ffc1864b915762cded7800cbfca3b92d6Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Nov 25 22:21:44 2021 +0300    JIT: Fixed use-after-free caused by shift by negative number        Fixes oss-fuzz #41192
f9518c3850	3c53a9fd73	Thu Nov 25 15:14:04 2021 +0300	Fixed incorrect narrowing to double	commit f9518c3850982aca41fac22b87a1e11096eb1643Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Nov 25 15:14:04 2021 +0300    Fixed incorrect narrowing to double        Fixes oss-fuzz #41223
3c53a9fd73	f302430c72	Thu Nov 25 13:51:56 2021 +0300	Fixed incorrect refcountion inference for BW_NOT	commit 3c53a9fd736df3ba39e95b402a73edb5bc2cdd85Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Nov 25 13:51:56 2021 +0300    Fixed incorrect refcountion inference for BW_NOT        BW_NOT for emtpy string returns empty string        Fixes oss-fuzz #41280
f302430c72	f6621037a0	Thu Nov 25 13:33:26 2021 +0300	Fixed incorrect DCE for ADD_ARRAY_ELEMENT instruction	commit f302430c721c8f8004ef97c9c051b2327ed069f4Author: Dmitry Stogov <dmitry@zend.com>Date:   Thu Nov 25 13:33:26 2021 +0300    Fixed incorrect DCE for ADD_ARRAY_ELEMENT instruction        DCE might remove INIT_ARRAY instruction but then keep the related    ADD_ARRAY_ELEMENT, becuse its both operands need to be freed.        Fixes oss-fuzz #41309
f8ec5a1d4c	1a2fb90bf4	Mon Nov 1 12:31:34 2021 +0100	Fix range inference hang	commit f8ec5a1d4c002a6bdfcec6b2582f66d58d32003cAuthor: Nikita Popov <nikita.ppv@gmail.com>Date:   Mon Nov 1 12:29:48 2021 +0100    Fix range inference hang        We shouldn't switch from range to no range for ZEND_DIV and instead    explicitly return an overflowing range. Otherwise the range will    not actually get updated during widening, and we'll perform    essentially infinite narrowing.        Fixes oss-fuzz #40566.
1a2fb90bf4	91dfac6f2a	Mon Nov 1 11:44:32 2021 +0100	Fix finally exception chaining on recursion	commit 1a2fb90bf459f2ab918e02dff63c803f24a354a9Author: Nikita Popov <nikita.ppv@gmail.com>Date:   Mon Nov 1 11:42:36 2021 +0100    Fix finally exception chaining on recursion        In this case zend_exception_set_previous() would destroy the    fast_call exception and further accesses on ex would be invalid.    We should only update ex if we update EG(exception).        Fixes oss-fuzz #40464.
64878757be	55aadc647b	Mon Nov 1 11:03:17 2021 +0100	Fix scdf loop var free check for phi vars	commit 64878757be97a6938b4cd7f3e0a0937f5f73e48eAuthor: Nikita Popov <nikita.ppv@gmail.com>Date:   Mon Nov 1 11:01:29 2021 +0100    Fix scdf loop var free check for phi vars        The variable may come from a phi node, in which case we should    take the defining block from it.        Fixes oss-fuzz #40453.
55aadc647b	a4ed17167c	Mon Nov 1 09:50:22 2021 +0100	Fix self-assign evaluation order for ASSIGN_DIM_OP	commit 55aadc647bbded429b5a54835619b8038f6f909eAuthor: Nikita Popov <nikita.ppv@gmail.com>Date:   Mon Nov 1 09:36:22 2021 +0100    Fix self-assign evaluation order for ASSIGN_DIM_OP        For $ary[idx] op= $ary we should evaluate the RHS operand first,    otherwise we may create a reference-free recursive array. Use the    same handling we do for the normal $ary[idx] = $ary case.        Fixes oss-fuzz #40287.
22b6aac66f	0acfd2d7b5	Tue Oct 19 14:19:22 2021 +0200	Fix inc/dec of undef var with error handler	commit 22b6aac66fbb64dd479b4a34ac3a7af7a40adad9Author: Nikita Popov <nikita.ppv@gmail.com>Date:   Tue Oct 19 13:12:37 2021 +0200    Fix inc/dec of undef var with error handler        Set the variable to null after emitting the undef var notice    rather than before. This avoids an assertion failure if the var    is unset by the error handler.        The flip side is that this may cause a leak instead, but that's    the more harmless outcome.        Fixes oss-fuzz #36604.
8653174539	9ab3bc69e8	Tue Oct 19 11:40:19 2021 +0200	Fix nested WeakMap destruction	commit 8653174539b079063ecf65e964da09cad06e77f8Author: Nikita Popov <nikita.ppv@gmail.com>Date:   Tue Oct 19 11:40:19 2021 +0200    Fix nested WeakMap destruction        This undoes the change from a4b209fdcfe799ab97f55c4c9d22d889813fc266    and addresses the original problem by dropping the unrefs during    shutdown. All objects should get unref'ed without that, and this    code path should only get hit for dangling references due to    bailout.        Alternatively we'd have to relax some assertions that check that the    object is part of the weakrefs table, which seems worse.        Fixes oss-fuzz #40090.
fabcc9a350	bbe21365b4	Mon Oct 11 12:19:29 2021 +0200	Fix long-term shutdown/tick fci/fcc storage	commit fabcc9a350087c652252f63b1d3744516e34d57eAuthor: Nikita Popov <nikita.ppv@gmail.com>Date:   Mon Oct 11 12:17:44 2021 +0200    Fix long-term shutdown/tick fci/fcc storage        Normally incrementing the refcount on just function_name is    sufficient. However, if the callable is of the form 'X::y' inside    an instance method, this will capture $this in fcc.object, which    also needs to be retained.        The fci_addref/fci_release helpers should likely be exported as    a general API, as we may have this problem in other places as    well.        Fixes oss-fuzz #39778.
3661c1932c	f455894bb6	Wed Oct 6 10:50:44 2021 +0200	Fix array cast type inference wrt packed arrays	commit 3661c1932c3c04f29331f4892d0e60c7b7ba612fAuthor: Nikita Popov <nikita.ppv@gmail.com>Date:   Wed Oct 6 10:48:14 2021 +0200    Fix array cast type inference wrt packed arrays        Use KEY_LONG instead of PACKED if it's possible for the array to    be empty. It won't be packed in that case.        Fixes oss-fuzz #39650.
bbd3f714d7	cdcdb33080	Tue Oct 5 11:28:16 2021 +0200	Fix COPY_TMP live range construction after optimization	commit bbd3f714d7a39b11b876ffca0b37520abadbef89Author: Nikita Popov <nikita.ppv@gmail.com>Date:   Tue Oct 5 11:26:32 2021 +0200    Fix COPY_TMP live range construction after optimization        If we optimize the FREE away, we should switch to constructing    a normal live range, rather than a split live range.        Fixes oss-fuzz #39548.
